"NUM","ID","Physical_Address","Physical_Address_Formatted","Lat","Lon"
"113",308382,"162 North Road Dunedin", "162 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.8506543, 170.5257534
"114",308384,"5 Islington Street Dunedin", "5 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8509693, 170.5257643
"115",308385,"9 Islington Street Dunedin", "9 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8511179, 170.5259084
"116",308386,"11 Islington Street Dunedin", "11 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8512197, 170.5260576
"117",308387,"15 Islington Street Dunedin", "15 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8513026, 170.5261206
"118",308389,"19 Islington Street Dunedin", "19 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8515221, 170.5264071
"119",308390,"21 Islington Street Dunedin", "21 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.851584, 170.5264949
"120",308391,"23 Islington Street Dunedin", "23 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8516481, 170.5265891
"121",308392,NA, , ,
"122",308393,"29 Islington Street Dunedin", , ,
"123",308394,"31 Islington Street Dunedin", "31 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8519109, 170.5269304
"124",308395,NA, "335 Portobello Rd, The Cove, Dunedin 9077, New Zealand" "362 Leith St, North Dunedin, Dunedin 9016, New Zealand", -45.88007169999999 -45.8646835, 170.5618047 170.5144227
"125",308396,"37 Islington Street Dunedin", , ,
"126",308397,"39 Islington Street Dunedin", "39 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8521498, 170.5272091
"127",308398,"41 Islington Street Dunedin", "41 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8522216, 170.5273228
"128",308399,"43 Islington Street Dunedin", "43 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.85230139999999, 170.5274632
"129",308400,"47 Islington Street Dunedin", "47 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8523856, 170.5275977
"130",308401,"53 Islington Street Dunedin", "53 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8525505, 170.5277615
"131",308402,"55 Islington Street Dunedin", "55 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8526553, 170.5279243
"132",308403,"57 Islington Street Dunedin", "57 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8527402, 170.5280259
"133",308404,"61 Islington Street Dunedin", "61 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8528545, 170.528242
"134",308405,"63 Islington Street Dunedin", "63 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8529366, 170.5282723
"135",308406,"65 Islington Street Dunedin", "65 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8530184, 170.5284291
"136",308407,"71 Islington Street Dunedin", "71 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.8531888, 170.528699
"137",308408,"73 Islington Street Dunedin", "73 Islington St, North East Valley, Dunedin 9010, New Zealand", -45.85330949999999, 170.5288351
"138",308409,"43 Maybank Street Dunedin", "43 Maybank St, North East Valley, Dunedin 9010, New Zealand", -45.8529081, 170.5295655
"139",308410,"84 Blacks Road Dunedin", "84 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8526899, 170.5299709
"140",308411,NA, "335 Portobello Rd, The Cove, Dunedin 9077, New Zealand" "362 Leith St, North Dunedin, Dunedin 9016, New Zealand", -45.88007169999999 -45.8646835, 170.5618047 170.5144227
"141",308412,"80 Blacks Road Dunedin", "80 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85252690000001, 170.529646
"142",308413,"76 Blacks Road Dunedin", "76 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85239379999999, 170.5295022
"143",308414,"72 Blacks Road Dunedin", , ,
"144",308415,"68 Blacks Road Dunedin", "68 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85220400000001, 170.5292376
"145",308416,"66 Blacks Road Dunedin", "66 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8521206, 170.5291505
"146",308417,"62 Blacks Road Dunedin", "62 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8519728, 170.5289632
"147",308418,"58 Blacks Road Dunedin", "58 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8518738, 170.5288268
"148",308419,"56 Blacks Road Dunedin", , ,
"149",308420,"54 Blacks Road Dunedin", "54 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85173959999999, 170.5286349
"150",308421,"52 Blacks Road Dunedin", "52 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8516759, 170.5285542
"151",308422,"50 Blacks Road Dunedin", "50 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8516037, 170.5284583
"152",308423,"48 Blacks Road Dunedin", "48 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8515249, 170.5283479
"153",308424,"46 Blacks Road Dunedin", "46 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8514274, 170.5282463
"154",308425,"42 Blacks Road Dunedin", "42 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8513244, 170.5281293
"155",308426,"40 Blacks Road Dunedin", "40 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85127809999999, 170.5280725
"156",308427,"38 Blacks Road Dunedin", "38 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8512122, 170.5279784
"157",308428,"34 Blacks Road Dunedin", "34 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85114919999999, 170.5278316
"158",308429,"32 Blacks Road Dunedin", "32 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8510704, 170.5277126
"159",308430,"26 Blacks Road Dunedin", "26 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8509659, 170.5275797
"160",308431,"24 Blacks Road Dunedin", "24 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.85083890000001, 170.5274393
"161",308432,"22 Blacks Road Dunedin", "22 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8507834, 170.5273471
"162",308433,"18 Blacks Road Dunedin", "18 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8507249, 170.5272589
"163",308434,"14 Blacks Road Dunedin", "14 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8506492, 170.5271478
"164",308435,"12 Blacks Road Dunedin", "12 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8505106, 170.527008
"165",308436,"10 Blacks Road Dunedin", "10 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8504422, 170.5269276
"166",308437,"8 Blacks Road Dunedin", "8 Blacks Rd, North East Valley, Dunedin 9010, New Zealand", -45.8503639, 170.526832
"167",308438,"178 North Road Dunedin", "178 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.8501655, 170.5266586
"168",308440,"172 North Road Dunedin", "172 North Rd, North East Valley, Dunedin 9010, New Zealand", -45.8503642, 170.526364
"169",308441,"3 Mechanic Street Dunedin", "3 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8504604, 170.5262939
"170",308442,"5 Mechanic Street Dunedin", , ,
"171",308443,"7 Mechanic Street Dunedin", "7 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8505633, 170.5265787
"172",308444,"11 Mechanic Street Dunedin", "11 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8506811, 170.5266403
"173",308445,"13 Mechanic Street Dunedin", "13 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8507563, 170.5267305
"174",308446,"15 Mechanic Street Dunedin", , ,
"175",308447,"17 Mechanic Street Dunedin", "17 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8509871, 170.5270083
"176",308448,"19 Mechanic Street Dunedin", "19 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8510423, 170.5271014
"177",308449,"23 Mechanic Street Dunedin", "23 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8511558, 170.5272498
"178",308450,"25 Mechanic Street Dunedin", "25 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8512442, 170.5273889
"179",308451,"27 Mechanic Street Dunedin", "27 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8513951, 170.5275996
"180",308452,"31 Mechanic Street Dunedin", "31 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8514783, 170.5276948
"181",308453,"33 Mechanic Street Dunedin", "33 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8515551, 170.527791
"182",308454,"35 Mechanic Street Dunedin", "35 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8516559, 170.5279752
"183",308455,"37 Mechanic Street Dunedin", "37 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.85175479999999, 170.5280937
"184",308456,"41 Mechanic Street Dunedin", "41 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.851842, 170.5281575
"185",308457,"45 Mechanic Street Dunedin", "45 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8519835, 170.5283513
"186",308458,"47 Mechanic Street Dunedin", "47 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8522125, 170.5286767
"187",308459,"49 Mechanic Street Dunedin", "49 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8523134, 170.5288354
"188",308460,"51 Mechanic Street Dunedin", "51 Mechanic St, North East Valley, Dunedin 9010, New Zealand", -45.8523913, 170.5288841
