OBJECTID,AU2013_V1_00,AU2013_V1_00_NAME,AREA_SQ_KM,LAND_AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE
179,519710,Onehunga North West,0.8029882,0.8029882,1758439.863,5913313.735,-36.9128897,174.7785947
180,519720,Onehunga North East,0.87091349,0.87091349,1759416.352,5913659.33,-36.90961124,174.7894788
181,521122,Kingseat,151.4756931,151.4756931,1763294.595,5888823.59,-37.13271168,174.838378
182,521131,Pokeno,53.62643777,53.62643777,1777328.775,5876238.759,-37.24352902,174.999279
183,521132,Hunua,171.8247023,171.8247023,1783336.645,5889899.234,-37.11930884,175.063623
184,521134,Paparata,22.43178634,22.43178634,1786963.793,5884380.525,-37.16830446,175.1058033
185,521135,Mangatawhiri,313.365792,313.365792,1791372.335,5884385.522,-37.16736686,175.1554245
186,521136,Kaiaua,81.33136892,81.33136892,1802232.268,5890106.287,-37.11355213,175.276109
187,521151,Awhitu,221.3250547,221.3250547,1744935.641,5887264.341,-37.1497863,174.6320752
188,521152,Glenbrook,52.9543227,52.9543227,1755728.716,5881242.683,-37.20230537,174.7548173
189,521153,Otaua,186.3135731,175.0801758,1756951.448,5870580.009,-37.2981684,174.7708371
190,521160,Bombay,14.62354982,14.62354982,1776045.174,5882091.893,-37.19104342,174.9834336
191,521201,Hingaia,7.43891346,7.43891346,1770629.908,5894844.927,-37.07715506,174.919548
192,521202,Whangapouri Creek,15.6450288,15.6450288,1768493.974,5892844.158,-37.09556708,174.8959804
193,521203,Bremner,6.64437051,6.64437051,1771461.207,5891048.801,-37.11120328,174.9297625
194,521301,Drury,53.00919152,53.00919152,1776872.586,5893500.312,-37.08811132,174.9900556
195,521302,Runciman,7.68567521,7.68567521,1773274.443,5888674.902,-37.1322559,174.9507083
196,521501,Mellons Bay,1.42821307,1.42821307,1772212.224,5915535.064,-36.89046202,174.9326171
197,521502,Cockle Bay,1.96084588,1.96084588,1773148.384,5914422.119,-36.90031767,174.9433717
198,521601,Howick West,0.78901299,0.78901299,1770845.739,5915045.709,-36.89511927,174.9174001
199,521602,Howick Central,1.83323895,1.83323895,1771679.409,5914437.711,-36.90044568,174.9268893
200,521801,Otahuhu North,0.66401151,0.66401151,1764583.87,5910329.785,-36.93872219,174.8481824
201,521802,Fairburn,0.89980871,0.89980871,1764689.015,5909410.311,-36.94698809,174.8495629
202,521803,Otahuhu East,0.78324925,0.78324925,1765442.414,5910593.661,-36.93619434,174.857761
203,521901,Otahuhu West,2.43886477,2.43886477,1763775.481,5909420.665,-36.94705413,174.8393058
