Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,7150.890137,7150.890137,7150.890137,7150.890137,7150.890137,0
2017-02-14,7171.890137,7187.439941,7150.890137,7180.029785,7180.029785,44286100
2017-02-15,7099.979980,7099.979980,7099.979980,7099.979980,7099.979980,0
2017-02-16,7099.979980,7103.750000,7079.149902,7093.529785,7093.529785,36946800
2017-02-19,7099.500000,7099.500000,7099.500000,7099.500000,7099.500000,0
2017-02-20,7115.689941,7115.689941,7115.689941,7115.689941,7115.689941,0
2017-02-21,7062.479980,7062.479980,7062.479980,7062.479980,7062.479980,0
2017-02-22,7089.520020,7089.520020,7089.520020,7089.520020,7089.520020,0
2017-02-23,7090.350098,7099.649902,7041.259766,7058.580078,7058.580078,29688200
2017-02-26,7079.180176,7079.180176,7079.180176,7079.180176,7079.180176,0
2017-02-27,7167.459961,7167.459961,7167.459961,7167.459961,7167.459961,0
2017-02-28,7148.779785,7148.779785,7148.779785,7148.779785,7148.779785,0
2017-03-01,7175.830078,7175.830078,7175.830078,7175.830078,7175.830078,0
2017-03-02,7175.830078,7179.259766,7146.419922,7160.870117,7160.870117,33900000
2017-03-05,7160.870117,7182.200195,7151.520020,7178.740234,7178.740234,30930700
2017-03-06,7178.729980,7178.740234,7160.779785,7167.629883,7167.629883,34143000
2017-03-07,7170.779785,7178.229980,7161.689941,7178.220215,7178.220215,33828200
2017-03-08,7188.459961,7188.459961,7131.740234,7140.979980,7140.979980,39074100
2017-03-09,7142.129883,7180.680176,7136.520020,7177.589844,7177.589844,30610500
2017-03-12,7177.990234,7206.430176,7171.770020,7194.790039,7194.790039,31893500
2017-03-13,7198.169922,7212.330078,7170.270020,7177.089844,7177.089844,39467600
2017-03-14,7178.979980,7178.990234,7122.669922,7131.299805,7131.299805,33467300
2017-03-15,7153.729980,7192.290039,7151.729980,7151.990234,7151.990234,38876800
2017-03-16,7151.979980,7177.350098,7151.979980,7158.140137,7158.140137,138910200
2017-03-19,7169.609863,7169.609863,7050.069824,7057.049805,7057.049805,45200200
2017-03-20,7057.040039,7096.459961,7057.040039,7085.540039,7085.540039,32423000
2017-03-21,7085.549805,7085.549805,7019.870117,7060.830078,7060.830078,38750800
2017-03-22,7074.779785,7074.779785,7034.160156,7062.549805,7062.549805,40172300
2017-03-23,7059.620117,7079.149902,7058.859863,7073.830078,7073.830078,41685800
2017-03-26,7073.830078,7101.089844,7062.709961,7062.709961,7062.709961,35297200
