Meshblock (2013 areas),Area unit code (2013 areas),Area unit description,Ward code (2013 areas),Ward description,Local board code (2013 areas),Local board area description,Territorial authority code (2013 areas),Territorial authority area description,Regional council code (2013 areas),Regional council area description
MB 0244400,510800,Henderson South,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0244500,510800,Henderson South,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0244600,510800,Henderson South,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0244700,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0244800,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0244900,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245000,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245100,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245200,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245300,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245400,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245500,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245600,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245700,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245800,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0245900,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246000,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246103,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246105,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246106,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246107,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246108,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246109,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246200,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246300,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246400,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246500,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246601,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246602,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246700,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246800,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0246900,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247000,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247100,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247200,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247300,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247400,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247500,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247600,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247700,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247800,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0247900,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248000,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248100,512201,Matipo,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248200,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248300,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248400,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248500,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248600,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248700,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248800,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0248900,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249001,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249003,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249004,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249005,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249006,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249007,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249008,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249009,512202,Durham Green,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249100,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249200,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249300,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249400,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249500,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249600,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249700,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249800,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0249900,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250000,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250101,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250102,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250103,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250104,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250105,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250106,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250107,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250108,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250109,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250110,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250200,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250300,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250400,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250500,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250600,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250700,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250800,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0250900,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251000,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251101,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251102,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251103,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251200,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251300,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251400,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251500,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251600,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251700,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251800,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0251900,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252000,512300,Te Atatu Central,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252100,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252200,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252300,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252400,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252500,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252600,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252700,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252800,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0252900,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253000,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253100,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253200,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253300,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253400,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253501,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253502,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253600,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253700,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253800,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0253900,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254000,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254100,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254200,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254301,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254302,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254400,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254500,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254600,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254700,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254800,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0254900,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255000,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255100,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255200,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255300,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255400,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255500,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255600,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255701,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255702,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255800,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0255900,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256000,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256100,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256200,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256300,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256400,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256500,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256600,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256700,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256801,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256802,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0256900,512401,Edmonton,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257001,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257002,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257003,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257004,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257100,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257201,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257202,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257203,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257300,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257400,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257500,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257601,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257602,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257701,512402,Wakeling,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257702,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257800,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0257900,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258001,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258002,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258100,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258200,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258300,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258400,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258500,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258600,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258700,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258801,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258802,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258901,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0258902,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259000,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259100,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259200,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259300,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259401,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259402,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259403,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259404,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259501,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259502,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259601,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259602,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259700,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259800,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0259900,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0260000,512500,Mcleod,07604,Waitakere Ward,07606,Henderson-Massey Local Board Area,076,Auckland,02,Auckland Region
MB 0260100,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260200,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260300,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260400,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260500,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260600,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260700,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260800,511902,Crum Park,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260901,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0260902,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261000,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261100,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261201,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261202,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261300,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261401,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261402,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261403,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261501,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261502,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261503,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261504,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261601,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
MB 0261602,511402,Rewarewa,07606,Whau Ward,07611,Whau Local Board Area,076,Auckland,02,Auckland Region
