Meshblock (2013 areas),Area unit code (2013 areas),Area unit description,Ward code (2013 areas),Ward description,Local board code (2013 areas),Local board area description,Territorial authority code (2013 areas),Territorial authority area description,Regional council code (2013 areas),Regional council area description
MB 0137602,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137701,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137702,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137703,506616,Matheson Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137704,506616,Matheson Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137705,506616,Matheson Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137706,506616,Matheson Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137707,506616,Matheson Bay,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137708,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137800,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137901,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137902,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137903,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137904,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137905,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137906,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137907,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0137908,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138002,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138003,506659,Matakana,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138004,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138101,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138103,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138104,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138105,506659,Matakana,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138106,506659,Matakana,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138107,506659,Matakana,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
MB 0138201,506661,Cape Rodney South,07601,Rodney Ward,07601,Rodney Local Board Area,076,Auckland,02,Auckland Region
