Count,Gender,Totwkfood,Occupation,Organic,Size,Mktspend,Stalls,Time,Visitfreq
278,0,225 ,1,0,3,25,1,25,0
279,0,205 ,3,1,3,35,2,25,0
280,1,245 ,1,1,4,20,4,15,1
281,0,145 ,4,0,1,20,4,15,0
282,1,205 ,2,0,2,35,2,25,0
283,0,275 ,1,0,4,25,1,20,0
284,0,325 ,0,0,6,40,1,25,0
285,0,155 ,2,1,1,30,2,35,1
286,1,205 ,2,0,2,25,4,30,1
287,1,115 ,4,0,1,25,3,20,2
288,1,175 ,3,1,3,30,1,25,0
289,1,275 ,2,1,3,35,1,25,0
290,1,325 ,2,1,5,45,1,30,0
291,1,285 ,2,1,4,40,1,25,1
292,0,225 ,2,0,2,55,2,30,2
293,0,115 ,2,1,1,25,1,20,1
294,1,145 ,2,1,1,30,1,25,0
295,1,275 ,3,1,3,45,1,25,0
296,1,275 ,0,1,4,50,1,35,0
297,0,325 ,1,1,5,55,1,40,0
298,0,285 ,3,0,3,35,2,25,2
299,1,75 ,0,0,1,30,1,40,3
300,0,55 ,0,0,1,25,2,40,3
301,0,105 ,3,1,2,50,4,40,2
302,1,175 ,2,1,4,60,2,30,1
303,0,65 ,0,0,1,28,1,20,1
304,1,95 ,0,1,2,45,4,45,0
305,0,145 ,2,1,3,60,1,55,0
306,1,175 ,3,0,4,75,3,70,0
307,0,85 ,3,0,2,45,1,50,1
308,0,60 ,3,0,1,30,1,45,0
309,1,70 ,3,0,1,32,4,35,2
310,0,55 ,0,0,1,30,1,45,2
311,0,100 ,2,1,2,50,4,40,1
312,0,165 ,2,1,4,70,2,55,1
313,1,70 ,0,0,1,45,1,20,1
314,0,105 ,0,1,2,45,4,45,0
315,1,155 ,2,1,3,60,1,50,0
316,0,225 ,3,1,5,90,3,90,0
317,1,80 ,3,0,1,50,1,50,1
318,0,60 ,3,0,1,35,1,45,0
319,0,65 ,1,1,1,35,1,30,3
320,0,55 ,4,0,1,30,1,37,2
321,1,125 ,3,1,2,70,3,60,2
322,1,195 ,4,1,3,80,2,70,1
323,1,65 ,0,0,1,28,1,39,1
324,0,95 ,0,1,2,45,4,45,0
325,0,135 ,2,1,2,60,1,55,0
326,0,145 ,3,0,3,75,3,70,0
327,1,85 ,3,0,2,45,1,50,1
328,1,65 ,3,0,1,35,1,40,0
329,0,85 ,0,1,1,40,1,30,3
330,1,55 ,0,0,1,28,2,45,3
331,1,95 ,2,1,2,50,4,45,2
332,0,225 ,2,1,4,100,2,70,1
333,1,70 ,0,1,1,35,1,20,1
334,0,95 ,0,1,2,45,4,45,0
335,1,145 ,2,1,3,60,1,55,0
336,1,195 ,2,0,4,90,3,70,0
337,1,65 ,5,0,1,30,1,50,1
338,0,95 ,4,0,2,50,1,60,0
339,0,105 ,0,1,2,55,1,50,3
340,1,55 ,0,0,1,25,2,25,3
341,1,105 ,3,1,2,50,4,40,2
342,1,90 ,2,1,1,60,2,45,1
343,0,65 ,0,0,1,28,1,35,1
344,1,95 ,0,1,2,45,4,45,0
345,1,135 ,3,1,2,70,1,55,0
346,0,175 ,3,0,4,80,3,70,0
347,1,85 ,3,0,2,45,1,50,1
348,0,160 ,5,0,1,30,2,45,0
349,1,89 ,0,1,1,20,4,40,3
350,1,93 ,0,0,1,30,3,37,3
351,1,125 ,0,0,1,35,2,50,1
352,1,145 ,5,0,2,20,4,45,1
353,0,114 ,0,0,1,25,4,10,2
354,1,122 ,0,1,1,40,3,40,1
355,1,133 ,0,0,2,30,4,25,1
356,1,148 ,0,1,2,30,4,25,3
357,0,153 ,4,0,2,50,3,80,2
358,1,167 ,5,1,2,35,4,60,1
359,1,204 ,4,0,2,45,4,40,1
360,1,226 ,4,0,3,50,4,40,3
361,0,239 ,4,0,2,40,2,60,3
362,1,242 ,4,0,2,35,2,45,1
363,1,281 ,5,1,4,60,4,80,1
364,0,288 ,3,0,5,45,1,45,2
365,1,292 ,5,0,4,60,4,45,3
366,1,299 ,2,0,3,45,1,36,2
367,1,309 ,4,1,2,50,1,60,2
368,1,311 ,5,0,5,40,1,45,3
