Meshblock (2013 Areas),Year,2001 proportion single family households
MB 0170200,2001,0.789473684
MB 0170300,2001,0.642857143
MB 0170401,2001,0.571428571
MB 0170402,2001,1
MB 0170403,2001,0.833333333
MB 0170500,2001,0.733333333
MB 0170601,2001,0.625
MB 0170602,2001,0.571428571
MB 0170603,2001,0.333333333
MB 0170604,2001,0.5
MB 0170605,2001,0.5
MB 0170700,2001,#VALUE!
MB 0170803,2001,0.823529412
MB 0170805,2001,#VALUE!
MB 0170806,2001,#VALUE!
MB 0170807,2001,0.625
MB 0170808,2001,0.740740741
MB 0170809,2001,0.888888889
MB 0170810,2001,0.833333333
MB 0170811,2001,0.8
MB 0170812,2001,0.8
MB 0170900,2001,0.7
MB 0171000,2001,0.75
MB 0171101,2001,0.666666667
MB 0171102,2001,0.25
MB 0171103,2001,0.692307692
MB 0171104,2001,0.5
MB 0171201,2001,0.8
MB 0171202,2001,0.571428571
MB 0171203,2001,0.555555556
MB 0171204,2001,0.8
MB 0171205,2001,0.428571429
MB 0171305,2001,0.882352941
MB 0171306,2001,0.228571429
MB 0171308,2001,#VALUE!
MB 0171309,2001,1
MB 0171310,2001,0.75
MB 0171311,2001,1
MB 0171312,2001,0.857142857
MB 0171313,2001,#VALUE!
MB 0171314,2001,0.6
MB 0171315,2001,0.571428571
MB 0171316,2001,#VALUE!
MB 0171317,2001,#VALUE!
MB 0171318,2001,0.777777778
MB 0171319,2001,0.428571429
MB 0171320,2001,0.625
MB 0171321,2001,0.571428571
MB 0171400,2001,0.615384615
MB 0171500,2001,0.722222222
MB 0171601,2001,0.545454545
MB 0171602,2001,0.47826087
MB 0171603,2001,0.533333333
MB 0171701,2001,0.621621622
MB 0171703,2001,#VALUE!
MB 0171704,2001,#VALUE!
MB 0171705,2001,#VALUE!
MB 0171706,2001,#VALUE!
MB 0171707,2001,#VALUE!
MB 0171708,2001,0.625
MB 0171709,2001,0.565217391
MB 0171803,2001,0.6
MB 0171804,2001,0.515151515
MB 0171805,2001,0.571428571
MB 0171806,2001,0.666666667
MB 0171807,2001,0.571428571
MB 0171808,2001,0.625
MB 0171809,2001,0.666666667
MB 0171810,2001,0.8
MB 0171811,2001,1
MB 0171902,2001,0.814814815
MB 0171903,2001,0.705882353
MB 0171904,2001,0.695652174
MB 0171906,2001,0.8
MB 0171907,2001,0.866666667
MB 0171908,2001,0.777777778
MB 0171909,2001,0.818181818
MB 0171910,2001,0.8125
MB 0171911,2001,0.642857143
MB 0172000,2001,#VALUE!
MB 0172101,2001,0.333333333
MB 0172102,2001,#VALUE!
MB 0172103,2001,0.5
MB 0172104,2001,#VALUE!
MB 0172105,2001,0.666666667
MB 0172106,2001,0.666666667
MB 0172107,2001,#VALUE!
MB 0172108,2001,0.75
MB 0172202,2001,0.636363636
MB 0172203,2001,0.375
MB 0172204,2001,0.5
MB 0172205,2001,0.583333333
MB 0172206,2001,0.6
MB 0172207,2001,0.571428571
MB 0172300,2001,0.428571429
MB 0172401,2001,0.526315789
MB 0172402,2001,0.590909091
MB 0172501,2001,0.769230769
MB 0172502,2001,0.666666667
MB 0172601,2001,0.65
MB 0172603,2001,0.769230769
MB 0172604,2001,0.857142857
MB 0172605,2001,0.9
MB 0172702,2001,0.592592593
MB 0172703,2001,0.6
MB 0172704,2001,0.8
MB 0172802,2001,0.806451613
MB 0172803,2001,0.75
MB 0172805,2001,0.833333333
MB 0172806,2001,0.666666667
MB 0172807,2001,0.333333333
MB 0172902,2001,0.647058824
MB 0172903,2001,0.620689655
MB 0172904,2001,0.769230769
MB 0172905,2001,0.8125
MB 0173003,2001,0.818181818
MB 0173004,2001,0.384615385
MB 0173005,2001,0.642857143
