Meshblock,Year,Proprtion partnered,Proportion 1 or more children,Proportion with at least a bachelors degree,Median personal income 2001
MB 0144200,2001,0.833333333,NA,NA,26300
MB 0144300,2001,0.714285714,NA,NA,15300
MB 0144400,2001,0.678571429,NA,NA,21300
MB 0144500,2001,0.8,NA,NA,22500
MB 0144600,2001,0.666666667,NA,NA,18800
MB 0144700,2001,0.6875,NA,NA,24200
MB 0144800,2001,0.785714286,NA,NA,26300
MB 0144900,2001,0.666666667,NA,NA,13800
MB 0145000,2001,0.692307692,NA,NA,14100
MB 0145100,2001,0.615384615,NA,NA,11300
MB 0145200,2001,0.75,NA,NA,20600
MB 0145300,2001,0.785714286,NA,NA,25400
MB 0145400,2001,0.666666667,NA,NA,16700
MB 0145500,2001,0.724137931,NA,NA,17500
MB 0145600,2001,0.709677419,NA,NA,16700
MB 0145700,2001,0.882352941,NA,NA,16700
MB 0145800,2001,0.807692308,NA,NA,12500
MB 0145900,2001,0.851851852,NA,NA,20800
MB 0146002,2001,0.785714286,NA,NA,20400
MB 0146003,2001,0.785714286,NA,NA,22500
MB 0146004,2001,0.875,NA,NA,23800
MB 0146005,2001,0.875,NA,NA,36700
MB 0146101,2001,0.769230769,NA,NA,25800
MB 0146102,2001,0.8,NA,NA,27500
MB 0146103,2001,0.875,NA,NA,17500
MB 0146104,2001,0.833333333,NA,NA,22500
MB 0146105,2001,#VALUE!,NA,NA,22500
MB 0146200,2001,0.735294118,NA,NA,21300
MB 0146300,2001,0.65625,NA,NA,20800
MB 0146400,2001,0.666666667,NA,NA,25400
MB 0146500,2001,0.846153846,NA,NA,17500
MB 0146600,2001,0.684210526,NA,NA,20800
MB 0146701,2001,0.666666667,NA,NA,22500
MB 0146702,2001,0.8,NA,NA,15400
MB 0146703,2001,0.7,NA,NA,22500
MB 0146704,2001,#VALUE!,NA,NA,..C
MB 0146705,2001,0.8,NA,NA,32500
MB 0146800,2001,0.709677419,NA,NA,20800
MB 0146901,2001,0.722222222,NA,NA,20300
MB 0146902,2001,0.642857143,NA,NA,23300
MB 0147000,2001,0.658536585,NA,NA,18000
MB 0147101,2001,0.666666667,NA,NA,41700
MB 0147104,2001,#VALUE!,NA,NA,..C
MB 0147106,2001,0.818181818,NA,NA,28800
MB 0147107,2001,0.636363636,NA,NA,23800
MB 0147108,2001,0.740740741,NA,NA,15800
MB 0147109,2001,0.666666667,NA,NA,22500
MB 0147110,2001,0.666666667,NA,NA,13300
MB 0147206,2001,#VALUE!,NA,NA,..C
MB 0147208,2001,#VALUE!,NA,NA,..C
MB 0147209,2001,#VALUE!,NA,NA,..C
MB 0147211,2001,#VALUE!,NA,NA,..C
MB 0147212,2001,#VALUE!,NA,NA,..C
MB 0147213,2001,#VALUE!,NA,NA,..C
MB 0147214,2001,#VALUE!,NA,NA,..C
MB 0147215,2001,#VALUE!,NA,NA,..C
MB 0147216,2001,#VALUE!,NA,NA,..C
MB 0147314,2001,#VALUE!,NA,NA,..C
MB 0147315,2001,#VALUE!,NA,NA,..C
MB 0147316,2001,#VALUE!,NA,NA,..C
MB 0147317,2001,#VALUE!,NA,NA,..C
MB 0147320,2001,#VALUE!,NA,NA,..C
MB 0147322,2001,#VALUE!,NA,NA,..C
MB 0147323,2001,#VALUE!,NA,NA,..C
MB 0147324,2001,#VALUE!,NA,NA,..C
MB 0147400,2001,0.740740741,NA,NA,32500
MB 0147500,2001,0.717391304,NA,NA,37500
MB 0147600,2001,0.613636364,NA,NA,21900
MB 0147700,2001,0.607142857,NA,NA,26300
